sector_name,baseline_sales,shock_sales,shock_rate,lipstick_score,z_score
철물점,90774280121,65555571966,-0.2778177708639942,-0.05817059561034657,-0.4535012005686302
신발,567007610492,409067542340,-0.27855017327713344,-0.058902998023485836,-0.4592110505396169
슈퍼마켓,3671638104120,2582206034460,-0.2967155364352309,-0.0770683611815833,-0.6008292326215809
화초,217895252915,151206827644,-0.30605726549267626,-0.08641009023902865,-0.6736578722201205
섬유제품,176690261696,121344256199,-0.31323744141725357,-0.09359026616360597,-0.729634923304511
가전제품,934576495842,641283008716,-0.313825019600733,-0.0941778443470854,-0.7342157155216094
화장품,1519309290298,1013931179463,-0.33263675412389154,-0.11298957887024394,-0.8808730447361196
자전거 및 기타운송장비,49780158369,31771987036,-0.3617539984407598,-0.14210682318711218,-1.10787270180343
애완동물,32776839149,20886630935,-0.36276250311838754,-0.14311532786473993,-1.1157350603934444
컴퓨터및주변장치판매,3702551996784,2312316678418,-0.3754802956375885,-0.1558331203839409,-1.2148836786175723
가구,673771045780,395992258174,-0.41227474725398106,-0.19262757200033345,-1.501735271028128
완구,97416291676,53505262994,-0.4507565205627526,-0.231109345309105,-1.8017413172518273
고시원,448366685,90000000,-0.7992714378411054,-0.5796242625874578,-4.518783007189374
